"","gps.lon","gps.lat","price","Rooms","Meters","Mezone","KK","panel","balcony_or_terrase","metro","novostavba"
"211",14.495725,50.094761,4800000,2,66,0,1,1,0,1,0
"212",14.565638,50.105717,3669000,1,39,0,1,0,1,1,1
"213",14.58458,50.10508,6459000,4,76,0,1,0,1,1,1
"214",14.58458,50.10508,5339000,2,60,0,1,0,1,1,1
"215",14.565638,50.105717,10799000,4,130,0,1,0,1,1,1
"216",14.438858,50.103653,16699000,4,159,0,1,0,1,1,0
"217",14.515314,50.108521,9200000,3,78,0,1,0,1,1,0
"218",14.417782,50.084553,9775000,2,58,0,1,0,0,1,0
"219",14.413791,50.081665,79000000,5,235,0,1,0,0,1,0
"220",14.417782,50.084553,9775000,1,58,0,1,0,0,1,0
"221",14.493021,50.053959,12466000,3,134,0,1,0,1,1,1
"222",14.424132,50.087837,10900000,3,48,0,0,0,0,1,0
"223",14.416729,50.07629,32000000,4,174,0,1,0,0,1,0
"224",14.45329,50.080471,11353500,4,130,0,1,0,0,1,0
"225",14.44962,50.103241,4800000,3,48,0,0,0,0,1,0
"226",14.405656,50.07531,17500000,4,138,0,1,0,1,1,1
"227",14.423597,50.070545,30970000,5,242,0,1,0,0,1,0
"228",14.423597,50.070545,56300000,5,342,0,1,0,1,1,0
"229",14.388535,50.071388,7900000,3,71,0,1,0,0,1,0
"230",14.433926,50.076977,9990000,4,101,0,0,0,0,1,0
"231",14.4915,50.043499,5339922,2,54,0,1,0,1,1,0
"232",14.468795,50.084641,19500000,5,221,0,1,0,1,1,1
"233",14.497181,50.072205,6600000,4,84,0,0,1,0,1,0
"234",14.622102,50.109318,4699000,2,44,0,1,0,1,1,0
"235",14.421267,50.090424,24000000,3,137,0,1,0,1,1,0
"236",14.449131,50.070522,11490000,3,110,0,1,0,1,1,1
"237",14.449131,50.070522,19990000,5,159,0,1,0,0,1,0
"238",14.415844,50.075062,19990000,4,116,0,1,0,1,1,0
"239",14.382456,50.06966,8990000,4,121,0,1,0,0,1,0
"240",14.449131,50.070522,11990000,3,83,0,1,0,1,1,0
"241",14.450624,50.110508,5055000,1,47,0,1,0,0,1,1
"242",14.3292,50.059101,9900000,3,104,0,1,0,1,1,1
"243",14.399044,50.102631,19875000,4,166,0,1,0,1,1,0
"244",14.342742,50.088642,16999000,5,164,0,0,0,1,1,0
"245",14.416445,50.085407,16500000,5,117,0,0,0,0,1,0
"246",14.410142,50.102512,13497000,3,83,0,1,0,0,1,1
"247",14.420355,50.091076,19500000,4,92,0,0,0,1,1,0
"248",14.363627,50.065392,17950000,4,118,0,1,0,1,1,1
"249",14.378358,50.065327,10900000,3,100,0,1,0,1,1,1
"250",14.515314,50.108521,9840000,3,93,0,1,0,1,1,0
"251",14.435261,50.070301,14350000,3,94,0,1,0,1,1,0
